iter	RMSE
0	0.4133128785
1	0.4124305824
2	0.4113106911
3	0.4103284363
4	0.4093692159
5	0.4084952757
6	0.4078534828
7	0.4070283407
8	0.4058844012
9	0.4046766019
10	0.4035207285
11	0.402342165
12	0.4012162919
13	0.4000393523
14	0.3989007291
15	0.3978687364
16	0.3969120041
17	0.3958781167
18	0.3949215942
19	0.3939182298
20	0.3930085093
21	0.3920531162
22	0.3912124569
23	0.390331721
24	0.3895120515
25	0.3887259999
26	0.3879969809
27	0.3872144018
28	0.386473556
29	0.3858255511
30	0.3851568209
31	0.3845369747
32	0.3840012182
33	0.3834949539
34	0.3830222376
35	0.3825223986
36	0.3819209594
37	0.38132426
38	0.3808082672
39	0.3802271373
40	0.379743154
41	0.3793115226
42	0.3788259879
43	0.3784236872
44	0.3779714988
45	0.3775251779
46	0.3771711184
47	0.3768110279
48	0.3764710638
49	0.3761275505
50	0.3758507353
51	0.3754974705
52	0.3751262098
53	0.374812591
54	0.3745055235
55	0.3740921009
56	0.3738262815
57	0.3734365518
58	0.3731995615
59	0.3729726599
60	0.3726154598
61	0.3724012201
62	0.3720506441
63	0.3717480951
64	0.3714072765
65	0.3712374347
66	0.3710642462
67	0.3707699083
68	0.3705014367
69	0.370240101
70	0.3700743893
71	0.3699276972
72	0.3697405064
73	0.3696022814
74	0.3693275037
75	0.369187108
76	0.3690229726
77	0.3689224597
78	0.3687934557
79	0.3685017014
80	0.3682245339
81	0.3680347183
82	0.3679121226
83	0.3676609434
84	0.3674589452
85	0.3673461484
86	0.367202148
87	0.3669271869
88	0.3667922569
89	0.3666640536
90	0.3665326934
91	0.36637781
92	0.3662781355
93	0.3661561258
94	0.3660522749
95	0.3659565786
96	0.365850269
97	0.365655602
98	0.365541724
99	0.3653870734
100	0.3652910346
101	0.3652387507
102	0.3650569812
103	0.3649603721
104	0.3648957596
105	0.3647662443
106	0.3647045823
107	0.3645954689
108	0.3645019243
109	0.3643238082
110	0.3642111945
111	0.3641158872
112	0.3637408304
113	0.3636267698
114	0.3635310181
115	0.3634475278
116	0.3633493585
117	0.3631801925
118	0.3630732715
119	0.3629276108
120	0.3627846705
121	0.3627108389
122	0.3626163401
123	0.3623819725
124	0.3622993507
125	0.362228788
126	0.3622058394
127	0.36207129
128	0.3619678925
129	0.3619105609
130	0.3618248851
131	0.3617841978
132	0.3616857848
133	0.3616519286
134	0.3615447381
135	0.3614501287
136	0.3613396558
137	0.3613086074
138	0.3612395494
139	0.3612048058
140	0.3611360317
141	0.3610857395
142	0.3610259659
143	0.3609915338
144	0.3609233869
145	0.3608803164
146	0.3607855981
147	0.3607206569
148	0.3605580473
149	0.3604934276
150	0.3602669112
151	0.360206038
152	0.3601597086
153	0.3601232022
154	0.3600673946
155	0.3599677165
156	0.3599109369
157	0.359817868
158	0.3597394764
159	0.35960164
160	0.3595849843
161	0.3595270508
162	0.3594618747
163	0.3593713663
164	0.3592985894
165	0.3592692377
166	0.3591305171
167	0.3590725703
168	0.3589686295
169	0.3589082224
170	0.3588307245
171	0.3587501907
172	0.3587267225
173	0.3585569602
174	0.3585411797
175	0.3584781527
176	0.358404001
177	0.3583864155
178	0.3583058306
179	0.358268727
180	0.3581824966
181	0.358118612
182	0.3580808453
183	0.3580266794
184	0.3579685833
185	0.357910794
186	0.357857442
187	0.3578190603
188	0.3577923858
189	0.3577589507
190	0.3576997302
191	0.3576997301
192	0.3576447622
193	0.3575855243
194	0.3575336291
195	0.3574503011
196	0.3573924165
197	0.357355192
198	0.357279747
199	0.3572520912
200	0.3572109299
201	0.357182785
202	0.357167851
203	0.3570857173
204	0.3569896538
205	0.3569447031
206	0.3567994715
207	0.3567737839
208	0.3567737838
209	0.3567205138
210	0.3566424684
211	0.3565323119
212	0.3565227632
213	0.3564912037
214	0.3564355522
215	0.3563771785
216	0.3562959702
217	0.3562755222
218	0.3562615318
219	0.3561639863
220	0.3561126028
221	0.3560484662
222	0.3559707627
223	0.3559589959
224	0.3559249796
225	0.3558817797
226	0.3557640945
227	0.3556779467
228	0.3555622557
229	0.3555233816
230	0.3555056458
231	0.3554438449
232	0.3554103026
233	0.3553549373
234	0.3553229158
235	0.3551952624
236	0.3551652742
237	0.355132629
238	0.3551167101
239	0.354981747
240	0.3548644991
241	0.3548536622
242	0.3548162866
243	0.3548054509
244	0.3547618419
245	0.3547318042
246	0.3546433136
247	0.3545516497
248	0.3545234147
249	0.3544332674
250	0.3543650405
251	0.3542718549
