iter	Passed	Remaining
0	264	131942
1	365	91021
2	502	83316
3	636	78950
4	745	73769
5	848	69837
6	954	67241
7	1056	65003
8	1167	63682
9	1270	62267
10	1388	61708
11	1506	61268
12	1600	59972
13	1711	59408
14	1823	58954
15	1916	57971
16	2009	57099
17	2107	56429
18	2209	55934
19	2307	55385
20	2398	54711
21	2490	54117
22	2585	53615
23	2687	53302
24	2783	52881
25	2878	52482
26	2969	52021
27	3069	51746
28	3163	51375
29	3256	51015
30	3354	50757
31	3448	50434
32	3539	50091
33	3647	49987
34	3742	49718
35	3837	49461
36	3934	49229
37	4025	48937
38	4115	48652
39	4211	48427
40	4301	48155
41	4402	48013
42	4502	47856
43	4599	47667
44	4698	47505
45	4807	47447
46	4899	47218
47	4991	47001
48	5081	46774
49	5172	46556
50	5270	46399
51	5365	46225
52	5475	46176
53	5606	46308
54	5702	46134
55	5832	46245
56	5938	46154
57	6080	46337
58	6199	46340
59	6293	46153
60	6399	46057
61	6496	45897
62	6599	45778
63	6711	45721
64	6825	45680
65	6931	45582
66	7028	45422
67	7139	45355
68	7270	45416
69	7385	45370
70	7513	45395
71	7627	45339
72	7734	45240
73	7842	45146
74	7940	44997
75	8037	44841
76	8139	44714
77	8262	44703
78	8400	44766
79	8529	44781
80	8630	44644
81	8745	44581
82	8859	44511
83	8976	44457
84	9082	44344
85	9196	44270
86	9321	44251
87	9449	44239
88	9569	44189
89	9689	44140
90	9807	44081
91	9918	43986
92	10043	43953
93	10148	43832
94	10255	43721
95	10370	43643
96	10475	43522
97	10574	43376
98	10669	43217
99	10779	43116
100	10881	42987
101	10980	42843
102	11108	42815
103	11212	42694
104	11306	42533
105	11405	42394
106	11504	42253
107	11627	42203
108	11746	42137
109	11880	42122
110	12005	42072
111	12136	42042
112	12266	42010
113	12402	41992
114	12541	41986
115	12647	41867
116	12766	41791
117	12896	41749
118	13018	41679
119	13150	41642
120	13267	41558
121	13390	41489
122	13496	41366
123	13630	41332
124	13753	41259
125	13906	41278
126	13968	41026
127	14092	40954
128	14198	40834
129	14322	40762
130	14435	40661
131	14554	40576
132	14655	40440
133	14757	40308
134	14871	40209
135	14980	40094
136	15110	40036
137	15217	39919
138	15341	39842
139	15463	39764
140	15570	39642
141	15696	39573
142	15803	39453
143	15920	39358
144	16038	39266
145	16154	39168
146	16299	39140
147	16422	39058
148	16550	38988
149	16679	38918
150	16810	38852
151	16956	38820
152	17078	38734
153	17189	38620
154	17300	38507
155	17410	38392
156	17507	38249
157	17627	38155
158	17741	38049
159	17859	37951
160	17985	37869
161	18097	37758
162	18227	37684
163	18333	37560
164	18461	37483
165	18596	37417
166	18728	37344
167	18862	37276
168	18972	37159
169	19088	37053
170	19219	36977
171	19319	36842
172	19440	36746
173	19583	36690
174	19710	36605
175	19867	36573
176	20000	36498
177	20128	36412
178	20242	36300
179	20372	36218
180	20507	36142
181	20647	36075
182	20771	35980
183	20907	35905
184	21036	35818
185	21171	35740
186	21306	35662
187	21408	35529
188	21506	35388
189	21616	35268
190	21734	35161
191	21758	34905
192	21872	34792
193	22003	34705
194	22107	34579
195	22219	34463
196	22322	34332
197	22432	34215
198	22548	34105
199	22657	33986
200	22769	33871
201	22877	33749
202	23015	33672
203	23140	33576
204	23273	33490
205	23407	33407
206	23510	33277
207	23619	33157
208	23645	32922
209	23747	32794
210	23864	32686
211	23981	32578
212	24123	32504
213	24252	32411
214	24405	32351
215	24566	32300
216	24688	32198
217	24818	32104
218	24936	31996
219	25056	31889
220	25157	31759
221	25276	31652
222	25392	31541
223	25488	31405
224	25598	31286
225	25720	31182
226	25850	31088
227	25962	30973
228	26079	30863
229	26214	30773
230	26340	30673
231	26467	30574
232	26602	30483
233	26715	30369
234	26834	30260
235	26960	30158
236	27088	30059
237	27199	29942
238	27323	29838
239	27469	29758
240	27598	29659
241	27738	29572
242	27836	29440
243	27946	29320
244	28066	29212
245	28175	29091
246	28270	28957
247	28404	28862
248	28515	28744
249	28647	28647
250	28767	28537
251	28881	28422
252	28997	28309
253	29103	28186
254	29203	28058
255	29326	27951
256	29350	27752
257	29469	27642
258	29594	27537
259	29714	27428
260	29839	27323
261	29943	27200
262	30048	27078
263	30176	26975
264	30333	26899
265	30453	26789
266	30575	26681
267	30689	26567
268	30824	26469
269	30968	26380
270	31109	26288
271	31248	26193
272	31299	26025
273	31419	25915
274	31537	25803
275	31652	25689
276	31793	25595
277	31901	25475
278	32026	25368
279	32156	25266
280	32296	25170
281	32427	25068
282	32564	24970
283	32696	24868
284	32817	24757
285	32938	24646
286	33046	24525
287	33072	24344
288	33174	24220
289	33279	24098
290	33348	23951
291	33460	23834
292	33596	23735
293	33705	23616
294	33810	23495
295	33925	23380
296	34045	23270
297	34166	23159
298	34298	23057
299	34420	22946
300	34493	22804
301	34627	22702
302	34753	22595
303	34874	22485
304	34996	22375
305	35131	22272
306	35263	22168
307	35365	22045
308	35497	21941
309	35522	21771
310	35638	21658
311	35768	21552
312	35886	21440
313	36012	21331
314	36140	21225
315	36249	21107
316	36362	20991
317	36470	20872
318	36586	20759
319	36711	20650
320	36843	20545
321	36950	20426
322	37029	20291
323	37136	20173
324	37276	20072
325	37402	19963
326	37549	19865
327	37678	19758
328	37829	19661
329	37991	19571
330	38031	19417
331	38260	19360
332	38473	19294
333	38503	19136
334	38650	19036
335	38791	18934
336	38911	18820
337	39037	18710
338	39164	18600
339	39277	18483
340	39384	18364
341	39498	18248
342	39563	18109
343	39677	17993
344	39793	17878
345	39935	17774
346	40068	17667
347	40198	17557
348	40311	17441
349	40419	17322
350	40527	17203
351	40638	17086
352	40748	16968
353	40851	16848
354	40982	16739
355	41091	16621
356	41207	16506
357	41346	16400
358	41469	16287
359	41593	16175
360	41737	16070
361	41873	15963
362	42016	15857
363	42140	15744
364	42251	15627
365	42279	15479
366	42313	15334
367	42437	15222
368	42554	15107
369	42684	14997
370	42812	14886
371	42923	14769
372	43036	14653
373	43170	14544
374	43282	14427
375	43400	14312
376	43529	14201
377	43638	14084
378	43764	13972
379	43886	13858
380	44040	13755
381	44172	13644
382	44304	13534
383	44429	13421
384	44558	13309
385	44686	13197
386	44786	13077
387	44903	12961
388	45017	12845
389	45132	12729
390	45261	12617
391	45410	12510
392	45539	12398
393	45683	12290
394	45818	12179
395	45938	12064
396	46036	11943
397	46147	11826
398	46282	11715
399	46401	11600
400	46503	11480
401	46601	11360
402	46711	11243
403	46825	11126
404	46944	11011
405	47069	10897
406	47209	10787
407	47337	10674
408	47443	10555
409	47547	10437
410	47645	10317
411	47767	10202
412	47891	10088
413	48030	9977
414	48175	9867
415	48298	9752
416	48416	9636
417	48534	9521
418	48650	9405
419	48753	9286
420	48859	9168
421	48965	9050
422	49063	8931
423	49095	8800
424	49188	8680
425	49282	8560
426	49384	8442
427	49478	8323
428	49582	8205
429	49678	8087
430	49799	7972
431	49917	7857
432	50026	7740
433	50145	7625
434	50255	7509
435	50378	7394
436	50517	7282
437	50654	7170
438	50773	7055
439	50888	6939
440	50999	6823
441	51028	6696
442	51151	6581
443	51283	6468
444	51429	6356
445	51569	6243
446	51615	6119
447	51752	6006
448	51876	5892
449	51987	5776
450	52090	5659
451	52206	5544
452	52314	5427
453	52450	5314
454	52547	5197
455	52643	5079
456	52747	4963
457	52872	4848
458	52970	4731
459	53084	4616
460	53213	4501
461	53308	4384
462	53423	4269
463	53518	4152
464	53611	4035
465	53717	3919
466	53808	3802
467	53905	3685
468	54012	3570
469	54137	3455
470	54267	3341
471	54377	3225
472	54489	3110
473	54587	2994
474	54715	2879
475	54840	2765
476	54962	2650
477	55087	2535
478	55196	2419
479	55316	2304
480	55416	2189
481	55522	2073
482	55620	1957
483	55725	1842
484	55875	1728
485	55992	1612
486	56110	1497
487	56249	1383
488	56350	1267
489	56453	1152
490	56560	1036
491	56669	921
492	56764	805
493	56886	690
494	56984	575
495	57080	460
496	57171	345
497	57272	230
498	57378	114
499	57515	0
